10001	IGNORE	(Passive Scan — Informational: Password Autocomplete in Browser)
10003	IGNORE	(Passive Scan — Informational: Vulnerable JS Library — handled by SCA)
10009	IGNORE	(Passive Scan — Informational: In Page Banner Info Leak)
10010	IGNORE	(Passive Scan — Informational: Cookie No HttpOnly Flag — API-only)
10011	WARN	(Passive Scan — Low: Cookie Without Secure Flag)
10015	WARN	(Passive Scan — Low: Incomplete or No Cache-control)
10017	IGNORE	(Passive Scan — Informational: Cross-Domain JavaScript Source File Inclusion)
10020	WARN	(Passive Scan — Low: X-Frame-Options Header)
10021	WARN	(Passive Scan — Low: X-Content-Type-Options Header Missing)
10023	IGNORE	(Passive Scan — Informational: Information Disclosure — Debug Error)
10024	IGNORE	(Passive Scan — Informational: Information Disclosure — Sensitive Info in URL)
10025	IGNORE	(Passive Scan — Informational: Information Disclosure — Sensitive Info in HTTP Referrer)
10027	WARN	(Passive Scan — Low: Information Disclosure — Suspicious Comments)
10028	IGNORE	(Passive Scan — Informational: Open Redirect)
10029	WARN	(Passive Scan — Low: Cookie Poisoning)
10030	IGNORE	(Passive Scan — Informational: User Controllable Charset)
10031	IGNORE	(Passive Scan — Informational: User Controllable HTML Element Attribute)
10032	IGNORE	(Passive Scan — Informational: Viewstate)
10033	IGNORE	(Passive Scan — Informational: Directory Browsing)
10034	IGNORE	(Passive Scan — Informational: Heartbleed OpenSSL — infrastructure-level)
10035	WARN	(Passive Scan — Low: Strict-Transport-Security Header)
10036	FAIL	(Active Scan — Medium: Server Side Include)
10037	FAIL	(Active Scan — High: Server Side Code Injection)
10038	FAIL	(Active Scan — High: Content Security Policy Header Not Set)
10039	WARN	(Passive Scan — Low: X-Backend-Server Header Info Leak)
10040	FAIL	(Active Scan — Medium: Secure Pages Include Mixed Content)
10041	FAIL	(Active Scan — Medium: HTTP to HTTPS Insecure Transition in Form Post)
10042	FAIL	(Active Scan — Medium: HTTPS to HTTP Insecure Transition in Form Post)
10043	IGNORE	(Passive Scan — Informational: User Controllable JavaScript Event)
10044	FAIL	(Active Scan — High: Big Redirect Detected — Potential Sensitive Info Leak)
10045	FAIL	(Active Scan — Medium: Source Code Disclosure via Backup Files)
10048	FAIL	(Active Scan — Medium: Remote Code Execution — Shell Shock)
10049	FAIL	(Active Scan — High: Buffer Overflow)
10050	FAIL	(Active Scan — High: Retrieved from Cache)
10052	WARN	(Passive Scan — Low: X-ChromeLogger-Data Header Info Leak)
10054	WARN	(Passive Scan — Low: Cookie without SameSite Attribute)
10055	FAIL	(Active Scan — Medium: CSP — Wildcard Directive)
10056	WARN	(Passive Scan — Low: X-Debug-Token Information Leak)
10057	WARN	(Passive Scan — Low: Username Hash Found)
10058	FAIL	(Active Scan — High: GET for POST)
10062	WARN	(Passive Scan — Low: PII Disclosure)
10095	WARN	(Passive Scan — Low: Backup File Disclosure)
10096	IGNORE	(Passive Scan — Informational: Timestamp Disclosure)
10097	IGNORE	(Passive Scan — Informational: Hash Disclosure)
10098	FAIL	(Active Scan — Medium: Cross-Domain Misconfiguration)
10099	FAIL	(Active Scan — Medium: Source Code Disclosure)
10104	WARN	(Passive Scan — Low: User Agent Fuzzer)
10105	WARN	(Passive Scan — Low: Weak Authentication Method)
10106	FAIL	(Active Scan — Medium: HTTP Only Site)
10107	IGNORE	(Passive Scan — Informational: Httpoxy — Proxy Header Misuse)
10108	FAIL	(Active Scan — High: Reverse Tabnabbing)
10109	IGNORE	(Passive Scan — Informational: Modern Web Application)
10110	IGNORE	(Passive Scan — Informational: Dangerous JS Functions)
10202	IGNORE	(Passive Scan — Informational: Absence of Anti-CSRF Tokens — API uses bearer tokens)
20012	FAIL	(Active Scan — High: Anti-CSRF Tokens Check)
20014	FAIL	(Active Scan — High: HTTP Parameter Pollution)
20016	FAIL	(Active Scan — Medium: Cross-Domain Requests)
20017	FAIL	(Active Scan — High: Source Code Disclosure — CVE-2012-1823)
20018	FAIL	(Active Scan — High: Remote Code Execution — CVE-2012-1823)
20019	FAIL	(Active Scan — High: External Redirect)
30001	FAIL	(Active Scan — High: Buffer Overflow)
30002	FAIL	(Active Scan — Medium: Format String Error)
30003	FAIL	(Active Scan — Medium: Integer Overflow Error)
40003	FAIL	(Active Scan — High: CRLF Injection)
40008	FAIL	(Active Scan — High: Parameter Tampering)
40009	FAIL	(Active Scan — Medium: Server Side Request Forgery)
40012	FAIL	(Active Scan — High: Cross Site Scripting — Reflected)
40013	FAIL	(Active Scan — High: Session Fixation)
40014	FAIL	(Active Scan — High: Cross Site Scripting — Persistent)
40016	FAIL	(Active Scan — High: Cross Site Scripting — Persistent via Spider)
40017	FAIL	(Active Scan — High: Cross Site Scripting — DOM Based)
40018	FAIL	(Active Scan — High: SQL Injection)
40019	FAIL	(Active Scan — High: SQL Injection — MySQL)
40020	FAIL	(Active Scan — High: SQL Injection — Hypersonic SQL)
40021	FAIL	(Active Scan — High: SQL Injection — Oracle)
40022	FAIL	(Active Scan — High: SQL Injection — PostgreSQL)
40023	FAIL	(Active Scan — Medium: Possible Username Enumeration)
40024	FAIL	(Active Scan — High: SQL Injection — SQLite)
40025	FAIL	(Active Scan — High: Proxy Disclosure)
40026	FAIL	(Active Scan — High: Cross Site Scripting — DOM Based via Spider)
40027	FAIL	(Active Scan — High: SQL Injection — MsSQL)
40028	FAIL	(Active Scan — High: ELMAH Information Leak)
40029	FAIL	(Active Scan — Medium: Trace.axd Information Leak)
40032	FAIL	(Active Scan — High: .htaccess Information Leak)
40034	FAIL	(Active Scan — High: .env Information Leak)
40035	FAIL	(Active Scan — Medium: Hidden File Finder)
40038	FAIL	(Active Scan — High: Bypassing 403)
40039	FAIL	(Active Scan — High: Web Cache Deception)
40040	FAIL	(Active Scan — Medium: CORS Misconfiguration)
40042	FAIL	(Active Scan — High: Spring Actuator Information Leak)
40043	FAIL	(Active Scan — High: Log4Shell — CVE-2021-44228)
40044	FAIL	(Active Scan — High: Spring4Shell — CVE-2022-22965)
40045	FAIL	(Active Scan — High: Server Side Template Injection)
40046	FAIL	(Active Scan — High: Server Side Template Injection — Blind)
50000	FAIL	(Active Scan — Medium: Script Active Scan Rules)
